【Unit Original】

Count: 107

---- Title | Artist | Lyricist | Composer | Arranger | Released | Event | Category | Jacket | Preview Audio | Vocal Version ----
bug | Kairiki bear | Kairiki bear | Kairiki bear | - | 2023-06-10 | What Lies Beyond Guiding a Lost Child |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_248/jacket_s_248.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0248_01/vs_0248_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver.
DREAM PLACE | EasyPop | EasyPop | EasyPop | EasyPop | 2023-10-20 | Dear Me, From Back Then |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_252/jacket_s_252.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0252_01/vs_0252_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
SHOW OFF | WADATAKEAKI | WADATAKEAKI | WADATAKEAKI | WADATAKEAKI | 2023-07-21 | No seek No find |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_257/jacket_s_257.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0257_01/vs_0257_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
the WALL | buzzG | buzzG | buzzG | buzzG | 2023-11-19 | Echo My Melody |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_259/jacket_s_259.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0259_01/vs_0259_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Parasol Cider | Nanahoshi Orchestra | Nanahoshi Orchestra | Iwami Takashi | Nanahoshi Orchestra | 2023-08-10 | Chasing The Sparkle Beyond the Blue Sky |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_264/jacket_s_264.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0264_01/vs_0264_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Kashika | Ryo Haruka | Ryo Haruka | Ryo Haruka | Ryo Haruka | 2023-12-20 | Find A Way Out |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_267/jacket_s_267.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0267_01/vs_0267_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Hollow | Shishishishi | Shishishishi | Shishishishi | Shishishishi | 2023-09-20 | Walk on and on |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_280/jacket_s_280.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0280_01/vs_0280_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Hoshizora Orchestra | Atsu Mizuno | Atsu Mizuno | Atsu Mizuno | Atsu Mizuno, Ito Yukino | 2024-01-20 | To The Gleaming Stars Halfway Through a Dream |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_282/jacket_s_282.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0282_01/vs_0282_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
We are | Guiano | Guiano | Guiano | Guiano | 2024-02-18 | At The End of The Unraveled Thread |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_287/jacket_s_287.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0287_01/vs_0287_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Float Planner | Heavenz | Heavenz | Heavenz | Heavenz | 2023-11-30 | Beyond The Dream of That Day |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_295/jacket_s_295.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0295_01/vs_0295_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
